/Users/snitil/Library/CloudStorage/OneDrive-McGillUniversity/McGill/U3/F2025/ECON302/innovationshowcase/src/sentiment_analysis.py:13: DeprecationWarning: 
Pyarrow will become a required dependency of pandas in the next major release of pandas (pandas 3.0),
(to allow more performant data types, such as the Arrow string type, and better interoperability with other libraries)
but was not found to be installed on your system.
If this would cause problems for you,
please provide us feedback at https://github.com/pandas-dev/pandas/issues/54466
        
  import pandas as pd
2025-11-16 13:20:41,086 - INFO - fetching articles for Canada (2021-01-01 to 2021-03-31) [attempt 1/3]
2025-11-16 13:20:41,775 - INFO - fetched 100 articles for Canada
2025-11-16 13:20:44,782 - INFO - fetching articles for Canada (2021-04-01 to 2021-06-30) [attempt 1/3]
2025-11-16 13:20:45,550 - INFO - fetched 100 articles for Canada
2025-11-16 13:20:48,557 - INFO - fetching articles for Canada (2021-07-01 to 2021-09-30) [attempt 1/3]
2025-11-16 13:20:49,271 - INFO - fetched 100 articles for Canada
2025-11-16 13:20:52,274 - INFO - fetching articles for Canada (2021-10-01 to 2021-12-31) [attempt 1/3]
2025-11-16 13:20:53,168 - INFO - fetched 100 articles for Canada
2025-11-16 13:20:56,174 - INFO - ✓ completed Canada 2021 (1600 articles)
2025-11-16 13:20:56,174 - INFO - using gdelt api for Canada 2022
2025-11-16 13:20:56,175 - INFO - fetching articles for Canada (2022-01-01 to 2022-03-31) [attempt 1/3]
2025-11-16 13:20:56,933 - INFO - fetched 100 articles for Canada
2025-11-16 13:20:59,939 - INFO - fetching articles for Canada (2022-04-01 to 2022-06-30) [attempt 1/3]
2025-11-16 13:21:00,600 - INFO - fetched 100 articles for Canada
2025-11-16 13:21:03,607 - INFO - fetching articles for Canada (2022-07-01 to 2022-09-30) [attempt 1/3]
2025-11-16 13:21:04,593 - INFO - fetched 100 articles for Canada
2025-11-16 13:21:07,600 - INFO - fetching articles for Canada (2022-10-01 to 2022-12-31) [attempt 1/3]
2025-11-16 13:21:08,224 - INFO - fetched 100 articles for Canada
2025-11-16 13:21:11,234 - INFO - ✓ completed Canada 2022 (1600 articles)
2025-11-16 13:21:11,234 - INFO - using gdelt api for Canada 2023
2025-11-16 13:21:11,234 - INFO - fetching articles for Canada (2023-01-01 to 2023-03-31) [attempt 1/3]
2025-11-16 13:21:12,088 - INFO - fetched 100 articles for Canada
2025-11-16 13:21:15,093 - INFO - fetching articles for Canada (2023-04-01 to 2023-06-30) [attempt 1/3]
2025-11-16 13:21:15,823 - INFO - fetched 100 articles for Canada
2025-11-16 13:21:18,832 - INFO - fetching articles for Canada (2023-07-01 to 2023-09-30) [attempt 1/3]
2025-11-16 13:21:19,480 - INFO - fetched 100 articles for Canada
2025-11-16 13:21:22,485 - INFO - fetching articles for Canada (2023-10-01 to 2023-12-31) [attempt 1/3]
2025-11-16 13:21:23,226 - INFO - fetched 100 articles for Canada
2025-11-16 13:21:26,238 - INFO - ✓ completed Canada 2023 (1600 articles)
2025-11-16 13:21:26,239 - INFO - using gdelt api for Denmark 2017
2025-11-16 13:21:26,239 - INFO - fetching articles for Denmark (2017-01-01 to 2017-03-31) [attempt 1/3]
2025-11-16 13:21:27,026 - INFO - fetched 100 articles for Denmark
2025-11-16 13:21:30,035 - INFO - fetching articles for Denmark (2017-04-01 to 2017-06-30) [attempt 1/3]
2025-11-16 13:21:30,668 - INFO - fetched 100 articles for Denmark
2025-11-16 13:21:33,676 - INFO - fetching articles for Denmark (2017-07-01 to 2017-09-30) [attempt 1/3]
